,_id,symbol,candyMachineIds,name,image,categories,description,createdAt,enabledAttributesFilters,isDraft,website,twitter,discord,derivativeDetails,isDerivative,nftImageType,totalItems,updatedAt,__v,flagMessage,isFlagged,rarity,watchlistCount,onChainCollectionAddress,skipMintsAttributesOverride,enabledVersionFilter,blockedMints
0,621921034e8dbf1d0dfbf43e,guild_saga_heroes,['BNaDSC3g8fgf8BebB8ovKefScNKjHotZsTeVJ33LL53h'],Guild Saga Heroes,https://dl.airtable.com/.attachmentThumbnails/0538d53dd445b408d2a48b0e159146eb/5dae4385,['launchpad'],"Guild Saga is a play-to-earn, NFT-based fantasy RPG built on the Solana blockchain, featuring a story mode, a gauntlet-style PVE mode, and PVP. ",2022-02-25T18:33:39.628Z,True,False,https://www.guildsaga.com/,https://twitter.com/GuildSaga,https://discord.gg/GuildSaga,"{'originLink': '', 'originName': ''}",False,,9900.0,2022-02-25T18:33:39.628Z,0.0,,,,,,,,
1,6219bd4a825d180012ce6528,monkelabs_dao,[],MonkeLabs DAO,https://dl.airtable.com/.attachmentThumbnails/aa44538adfb1ba9e95c454486acaf3e8/0ef22462,"['pfps', 'art']",MonkeLabs DAO is a collection of 6000 MonkeLabs PFPs,2022-02-26T05:40:24.698Z,True,False,https://monkelabs.io/,https://twitter.com/monkelabs,https://discord.gg/RgdeB4StKM,,,,,,,,,,,,,,
2,620df9ebb92bca0010dfe01b,magicticket,"['58582adx2ncHC7S92RPg71mBw5Q9EygtRVbhy7ZfAAu2', 'HWfU5gSJ55cmAX2su8i5XtqAoMb3JmkiMj8dRxJWL6NU', 'H9dkg8BvuDz2axdpvP7zoxL4xasDsQrJ34uvmhnqQVNg']",Magic Ticket,https://ipfs.io/ipfs/bafybeibimlad5fzgsvo2hzvtb6h2ayqi6kncr665mddylf6crvjpc2l7s4,"['virtual_worlds', 'art']",Magic Ticket NFT for active wallets on Magic Eden. Holders will receive access to MagicDAO.,2022-02-22T00:48:24.023Z,True,False,https://blog.magiceden.io/p/magicdao-magic-ticket-litepaper?s=w,https://twitter.com/MagicEden_NFT,https://discord.gg/magiceden,"{'originLink': '', 'originName': ''}",False,,,,,,,,,,,,
3,621c423e814536dcf79487f6,cyborg_iguanas,,Cyborg Iguanas,https://creator-hub-prod.s3.us-east-2.amazonaws.com/cyborg_iguanas_pfp_1645398840903.png,"['games', 'pfps']",Cyborg Iguanas are 2222 Iguana NFTs in space ready to conquer the Iguanaverse. Each Iguana enables holders to participate in our unique missions. Board into cosmic space and equip items in search of the coveted Iguana eggs.,2022-02-28T03:32:13.979Z,True,False,https://www.cyborgiguanas.com/,https://www.twitter.com/CyborgIguanas,https://www.discord.gg/cyborgiguanas,"{'originName': '', 'originLink': ''}",False,,2222.0,,,,,,,,,,
4,61f4770fd997397d29f5a865,monkelabs,[],MonkeLabs,https://dl.airtable.com/.attachmentThumbnails/37fd1a44d683784b3b6195f0e5dec266/8196493e,['virtual_worlds'],Monkelabs.io is a revenue sharing Launchpad for Solana NFT projects. Holders receive 50% revenue from the Launchpad and 50% off Launchpad fees when launching their own project. ,2022-01-29T21:19:04.096Z,True,False,,https://twitter.com/monkelabs,https://discord.gg/RgdeB4StKM,"{'originLink': '', 'originName': ''}",False,gif,3000.0,,,,,,,,,,
5,61c8af005f47f500114a74d9,lifinity_flares,['EWyWxSkxWHWGzxfCd9kG7zGrKTUDbZGiV6VbFJF8YfqN'],Lifinity Flares,https://dl.airtable.com/.attachmentThumbnails/6972d5c2efb77d49be97b07ccf4fbc69/e9572fb8,['pfps'],Animated NFTs・NFT x DeFi・Revenue generating protocol,2021-12-26T18:05:51.159Z,True,False,https://lifinity.io/,https://twitter.com/Lifinity_io,https://discord.gg/K2tvfcXwWr,,,,,,,,,,,,,,
6,6217904a0590bfa5afb2debf,starbots_robot,[],Starbots Robot,https://dl.airtable.com/.attachments/3e3caf39f22c4db846eff28844718e49/04684b18/batch1.gif,['launchpad'],"Starbots is a BattleBots-inspired universe and the first-ever robot battle NFT game where players create fantasy robots to fight against other competitors, then collect NFT items and GEAR tokens.",2022-02-24T14:03:54.651Z,True,False,https://starbots.net/,https://twitter.com/Starbots_game,https://discord.gg/arCt64m2ms,"{'originLink': '', 'originName': ''}",False,,6000.0,2022-02-24T14:03:54.651Z,0.0,,,,,,,,
7,6217725c814536dcf7fe91d3,portals_citizen_cards,,Portals Citizen Cards,https://creator-hub-prod.s3.us-east-2.amazonaws.com/portals_citizen_cards_pfp_1645636841227.png,"['virtual_worlds', None]","Portals Citizen Cards grant you access to your own personal space in the metaverse, where you can hang out, display collectibles found in Portals Downtown, display your art, and more. Learn more about the different Citizen Cards in the Portals Discord.",2022-02-24T11:56:12.688Z,True,,https://theportal.to/,https://www.twitter.com/_portals_,https://www.discord.gg/portals,"{'originName': '', 'originLink': ''}",False,,5000.0,,,,,,,,,,
8,61f6da22d3898b80dc3a388e,robo_cocks,[],Robo Cocks,https://dl.airtable.com/.attachments/8a7ca7d521f3e5ef90ffc12b71d515ac/1852ca78/MERoboCockGIF.gif,"['art', 'pfps']","Robo Cocks is a collection of 3,838 Mecha-Roosters. Backed by a team of battle-hardened, real-world entrepreneurs, NFT collectors, artists, community builders; a project offering its art that shines both as a PFP, as well as a high-definition art piece to be showcased in your galleries. Returning ""NFTs"" back to its origins, which is art for arts sake, backed by crypto-enabled utility. The project aims at revolutionizing staking and breeding systems, as well as building together within its own community, the Cock Coop.",2022-02-22T19:45:24.575Z,True,False,,https://twitter.com/RoboCockNFT,https://discord.gg/robococknft,"{'originLink': '', 'originName': ''}",False,,0.0,,,,False,,,,,,
9,61bda255abff6174de871723,danger_valley_ducks,[],Danger Valley Ducks,https://dl.airtable.com/.attachments/10f5da72b55ab971a2e3471f0004851e/8b7e841f/duck_main_500.PNG,"['pfps', 'games']","7,777 uniquely generated Danger Valley Ducks on the Solana blockchain. They are a part of the Danger Valley gaming platform.",2021-12-18T08:56:53.231Z,True,False,https://dangervalley.com/,https://twitter.com/danger_valley,https://discord.gg/dangervalley,,,,0.0,,,,,,,,,,
